Drug Name,Drug ID,Cell Line Name,Cosmic ID,TCGA Classification,Tissue,Tissue Sub-type,IC50,AUC,Max Conc,RMSE,Z score,Dataset Version
"XMD15-27","332","NCI-H1573","908472","LUAD","lung","lung_NSCLC_adenocarcinoma","5.1495250800403918",".98703730470286","10.24",".025252784490419528",".6644619569359892","GDSC1"
"XMD15-27","332","NCI-H1666","908473","LUAD","lung","lung_NSCLC_adenocarcinoma","5.3571984643266486",".98410480346235185","10.24",".027418148841505948",".90351361701185806","GDSC1"
"XMD15-27","332","NCI-H1755","908475","LUAD","lung","lung_NSCLC_adenocarcinoma","5.0792258279368943",".98423106445543285","10.24",".030572045562126678",".58354088476687149","GDSC1"
"XMD15-27","332","NCI-H1993","908476","LUAD","lung","lung_NSCLC_adenocarcinoma","5.7708317973605308",".98162648663308416","10.24",".03106188764075057","1.3796446111895642","GDSC1"
"XMD15-27","332","SK-LU-1","909721","LUAD","lung","lung_NSCLC_adenocarcinoma","4.9969027048778578",".97471194815319295","10.24",".027558160900116608",".48877920263062563","GDSC1"
"XMD15-27","332","NCI-H838","910399","LUAD","lung","lung_NSCLC_adenocarcinoma","5.1028991901116223",".98494388558566048","10.24",".029368394671716449",".61079115830045749","GDSC1"
"XMD15-27","332","NCI-H1651","910900","LUAD","lung","lung_NSCLC_adenocarcinoma","5.0411967559392084",".98688495544997856","10.24",".026693604913153895",".53976583471201878","GDSC1"
"XMD15-27","332","RERF-LC-MS","910931","LUAD","lung","lung_NSCLC_adenocarcinoma","5.0425328629655146",".98374333473931319","10.24",".03003452063008636",".54130381996600441","GDSC1"
"XMD15-27","332","NCI-H1975","924244","LUAD","lung","lung_NSCLC_adenocarcinoma","4.3146071036507738",".96212406020763708","10.24",".031757852605576037","-.29660741152969061","GDSC1"
"XMD15-27","332","HCC-44","1240145","LUAD","lung","lung_NSCLC_adenocarcinoma","3.8473362168814438",".9712392085947783","10.24",".042787819682892206","-.83448029096118259","GDSC1"
"XMD15-27","332","HCC-827","1240146","LUAD","lung","lung_NSCLC_adenocarcinoma","5.3278467459004162",".97929358326042792","10.24",".029989361770947871",".86972701965858967","GDSC1"
"XMD15-27","332","NCI-H1944","1240185","LUAD","lung","lung_NSCLC_adenocarcinoma","4.1110856524753956",".96717336556193567","10.24",".0388578725480897","-.53087980484448338","GDSC1"
"XMD15-27","332","NCI-H2023","1240187","LUAD","lung","lung_NSCLC_adenocarcinoma","5.0641860567406134",".97955230132086069","10.24",".024647840945772877",".56622868906115487","GDSC1"
"XMD15-27","332","NCI-H3122","1240190","LUAD","lung","lung_NSCLC_adenocarcinoma","3.6962339377542373",".95015456693905453","10.24",".037148079375624248","-1.0084132713031244","GDSC1"
"XMD15-27","332","PC-3_[JPC-3]","1240202","LUAD","lung","lung_NSCLC_adenocarcinoma","5.4476830604828175",".97970646972793407","10.24",".031770417611121538","1.0076699247484879","GDSC1"
"XMD15-27","332","H3255","1247873","LUAD","lung","lung_NSCLC_adenocarcinoma","5.3219961274026018",".98246100787668245","10.24",".031898808137845437",".86299240573981573","GDSC1"
"XMD15-27","332","HCC-78","1290908","LUAD","lung","lung_NSCLC_adenocarcinoma","5.1644245369806132",".98115025678029499","10.24",".034581933822733252",".68161263769380531","GDSC1"
"XMD15-27","332","NCI-H1435","1298347","LUAD","lung","lung_NSCLC_adenocarcinoma","5.3517405376167373",".99191729655516125","10.24",".019495295364357599",".89723102839290303","GDSC1"
"XMD15-27","332","NCI-H1568","1298348","LUAD","lung","lung_NSCLC_adenocarcinoma","5.0645545439921147",".97532381901995824","10.24",".027435940072665546",".56665285265578647","GDSC1"
"XMD15-27","332","NCI-H1781","1298350","LUAD","lung","lung_NSCLC_adenocarcinoma","5.0022705199608541",".98745390015960721","10.24",".025982073237276266",".49495806426463174","GDSC1"
"XMD15-27","332","RERF-LC-KJ","1298537","LUAD","lung","lung_NSCLC_adenocarcinoma","5.1979050081536773",".98438055960977144","10.24",".029735453717126853",".72015181902197756","GDSC1"
"XMD15-27","332","EMC-BAC-1","1503369","LUAD","lung","lung_NSCLC_adenocarcinoma","3.0752385057109515",".9064117568204979","10.24",".03098245115192455","-1.7232376068321085","GDSC1"
"XMD15-27","332","EMC-BAC-2","1503370","LUAD","lung","lung_NSCLC_adenocarcinoma","3.9626273854410923",".95796416694774122","10.24",".025339376856335621","-.70176927779504006","GDSC1"
"T0901317","333","Calu-3","687777","LUAD","lung","lung_NSCLC_adenocarcinoma","5.3708518395405793",".98070149431960774","10.24",".036651903263873173","1.0046340262746267","GDSC1"
"T0901317","333","NCI-H1437","687794","LUAD","lung","lung_NSCLC_adenocarcinoma","3.4604807312260797",".94277122420095494","10.24",".047054042944605169","-.81081710995905143","GDSC1"
"T0901317","333","NCI-H1623","687798","LUAD","lung","lung_NSCLC_adenocarcinoma","5.4670628629877269",".9838827951585134","10.24",".031311831821141285","1.0960646446896192","GDSC1"
"T0901317","333","NCI-H1648","687799","LUAD","lung","lung_NSCLC_adenocarcinoma","5.0125376777720252",".97633540275994801","10.24",".050398486172449894",".6641233007511077","GDSC1"
"T0901317","333","NCI-H1650","687800","LUAD","lung","lung_NSCLC_adenocarcinoma","5.3204416168491715",".98363862482539766","10.24",".030519842326707475",".9567285195044507","GDSC1"
"T0901317","333","NCI-H1693","687802","LUAD","lung","lung_NSCLC_adenocarcinoma","6.0043306901997475",".97425808589004514","10.24",".040796528545209126","1.6066374245692483","GDSC1"
"T0901317","333","NCI-H1838","687807","LUAD","lung","lung_NSCLC_adenocarcinoma","5.2620630947712677",".9702521883842361","10.24",".018730392774811234",".90125063158167873","GDSC1"
"T0901317","333","NCI-H2085","687812","LUAD","lung","lung_NSCLC_adenocarcinoma","4.6541952706601073",".97802789277076507","10.24",".059491315300551809",".32358573330117968","GDSC1"
"T0901317","333","NCI-H2228","687816","LUAD","lung","lung_NSCLC_adenocarcinoma","4.0426142852805143",".93293051331814025","10.24",".047052546774646493","-.25760783164228135","GDSC1"
"T0901317","333","NCI-H2342","687819","LUAD","lung","lung_NSCLC_adenocarcinoma","5.1043464520306809",".9844854510883474","10.24",".027335187891510085",".75137040306472713","GDSC1"
"T0901317","333","NCI-H2347","687820","LUAD","lung","lung_NSCLC_adenocarcinoma","5.2794230702324416",".9822795864181737","10.24",".032707719633649282",".91774804773229435","GDSC1"
"T0901317","333","NCI-H2405","687821","LUAD","lung","lung_NSCLC_adenocarcinoma","5.1547942026921483",".98326690375823467","10.24",".027438777000232773",".79931157316523138","GDSC1"
"T0901317","333","NCI-H2030","722045","LUAD","lung","lung_NSCLC_adenocarcinoma","4.5568924460241105",".97442388421836945","10.24",".038966245742154355",".23111756165885314","GDSC1"
"T0901317","333","NCI-H2122","722046","LUAD","lung","lung_NSCLC_adenocarcinoma","4.6295498260807362",".9819982487728558","10.24",".023995625829775515",".30016483870647481","GDSC1"
"T0901317","333","NCI-H1734","722058","LUAD","lung","lung_NSCLC_adenocarcinoma","4.9402008698127799",".98299040680680938","10.24",".030468321599389982",".59538066764198638","GDSC1"
"T0901317","333","NCI-H650","722066","LUAD","lung","lung_NSCLC_adenocarcinoma","5.5012684099307716",".98088254044442391","10.24",".033177980678952147","1.1285706320304945","GDSC1"
"T0901317","333","NCI-H2087","724834","LUAD","lung","lung_NSCLC_adenocarcinoma","4.4433815180997627",".9744806901310834","10.24",".028997370758008519",".12324661335027402","GDSC1"
"T0901317","333","Calu-6","724859","LUAD","lung","lung_NSCLC_adenocarcinoma","4.7331178927473392",".97571431099701522","10.24",".021086403777398163",".39858695338831807","GDSC1"
"T0901317","333","NCI-H1355","724866","LUAD","lung","lung_NSCLC_adenocarcinoma","5.4011886122629678",".97460276356218234","10.24",".030376009860571523","1.033463465889171","GDSC1"
"T0901317","333","NCI-H1792","724868","LUAD","lung","lung_NSCLC_adenocarcinoma","3.467077368445473",".96853210234463627","10.24",".064689363246303491","-.80454823765296046","GDSC1"
"T0901317","333","NCI-H2009","724873","LUAD","lung","lung_NSCLC_adenocarcinoma","4.712092515697611",".97812529988761154","10.24",".018963497792525399",".37860625723533448","GDSC1"
"T0901317","333","NCI-H2291","724874","LUAD","lung","lung_NSCLC_adenocarcinoma","5.7412481879863533",".97709005980105235","10.24",".022833770391274658","1.3566266148957817","GDSC1"
"T0901317","333","SW1573","724878","LUAD","lung","lung_NSCLC_adenocarcinoma","5.2045319307910605",".97482816267750749","10.24",".023860456666235243",".84657799935742784","GDSC1"
"T0901317","333","LXF-289","753592","LUAD","lung","lung_NSCLC_adenocarcinoma","4.6590001227053657",".9828787965862158","10.24",".037009474670649696",".32815184826545762","GDSC1"
"T0901317","333","NCI-H1563","753600","LUAD","lung","lung_NSCLC_adenocarcinoma","5.0823148387058232",".97905156665783433","10.24",".026592660724249657",".73043346716280022","GDSC1"
